choice_set,event_id,event_type,outcomes,panelist_features,panelist_id,policy,product_display,product_features,product_id,schema_version,selected_product_ids,selection_id,t,traces
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005""]",c2c94d2c532beef30365394f8f76147a,selection,,,p0001,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0003"", ""prod_0004""]",,0,"{""executed_product_ids"": [""prod_0001"", ""prod_0003"", ""prod_0004""], ""notes"": ""I'm prioritizing the Pilsner (prod_0001) for its potential subtle citrus notes and reasonable bitterness. The Sour (prod_0003) is appealing due to my interest in sours, but the low IBU is a concern. The Wheat Ale (prod_0004) seems like a refreshing and affordable option.""}"
,4a4aba012f9998761e68d7ddeaacb254,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.7, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.8}, ""bitterness_tolerance"": 0.8, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.7, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright flavor profile. Expect subtle citrus notes from carefully selected hops, balanced by a gentle bitterness and a dry finish. With an ABV of 4.8% and 35 IBUs, it's easy-drinking and incredibly satisfying. Brewed with simple, quality ingredients and priced at $9 for a 6-pack, Golden Horizon Pilsner is the perfect choice for a sunny afternoon or a casual gathering.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,c2c94d2c532beef30365394f8f76147a,0,"{""rationale"": ""As an IPA and sour lover, I generally prefer bolder, more complex flavors and higher bitterness. This Pilsner sounds pleasant enough – the citrus notes are appealing – but the 35 IBUs and overall flavor profile seem a bit too mild for my taste. It's priced well, so I might try it once out of curiosity, but it's unlikely to become a regular purchase.""}"
,092ab8e9718c395ffa58cc70cbec1942,evaluation,"{""bitterness"": 1, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.7, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.8}, ""bitterness_tolerance"": 0.8, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.7, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Crimson Orchard Sour, a refreshingly tart and vibrant beer. This Sour style ale boasts a beautiful ruby hue and a balanced flavor profile. Expect a crisp acidity complemented by subtle sweetness and a light body, making it incredibly easy to drink. We’ve added real fruit for a burst of natural flavor and aroma. With a moderate 5.2% ABV and just 10 IBUs, it's a perfect choice for those seeking a unique and approachable beer experience. A six-pack is priced at $18.","{""abv"": 5.2, ""color_srm"": 8, ""flavor_profile"": {""acidity"": 0.9, ""aroma_intensity"": 0.5, ""bitterness"": 0.1, ""body"": 0.3, ""sweetness"": 0.4}, ""ibu"": 10, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": false, ""fruit_added"": true, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 18, ""style"": ""Sour""}",prod_0003,0.1.0,,c2c94d2c532beef30365394f8f76147a,0,"{""rationale"": ""As an IPA and sour lover, I'm intrigued by the description of this beer. However, the 10 IBUs are incredibly low for my taste – I really like a lot of bitterness. The flavor profile suggests it's not very bitter at all. While I appreciate the 'approachable' nature, it doesn't sound like it would satisfy my preference for bolder flavors. The price is reasonable, so I *might* try it if it's available, but it's not a high priority.""}"
,7168cdf1ee4e05783dc50290274fe3ee,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.6, ""adventurousness"": 0.9, ""age_group"": ""21-29"", ""beer_style_affinity"": {""ipa"": 0.7, ""lager"": 0.3, ""sour"": 0.6, ""stout"": 0.2, ""wheat"": 0.8}, ""bitterness_tolerance"": 0.8, ""gender"": ""female"", ""income_bracket"": ""<30k"", ""price_sensitivity"": 0.7, ""region"": ""West"", ""sweetness_preference"": 0.1}",p0001,self_selection,"Introducing Sunstone Wheat Ale, a refreshing and easy-drinking beer perfect for any occasion. This Wheat style ale boasts a light golden color and a subtle malt sweetness balanced by a bright citrus hop aroma. With a moderate bitterness and a clean finish, Sunstone offers a crisp and approachable flavor profile. At 5.5% ABV and 20 IBUs, it’s a wonderfully balanced brew. Enjoy a six-pack for just $8 and experience the sunshine in every sip!","{""abv"": 5.5, ""color_srm"": 4, ""flavor_profile"": {""acidity"": 0.5, ""aroma_intensity"": 0.8, ""bitterness"": 0.3, ""body"": 0.4, ""sweetness"": 0.2}, ""ibu"": 20, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 8, ""style"": ""Wheat""}",prod_0004,0.1.0,,c2c94d2c532beef30365394f8f76147a,0,"{""rationale"": ""As an IPA and sour lover, I generally prefer bolder, more complex flavors and higher bitterness. This wheat ale sounds refreshing, but the described flavor profile (subtle malt sweetness, citrus hops, moderate bitterness) doesn't really excite me. The 20 IBUs are quite low for my taste. It's reasonably priced, so I might try it once out of curiosity, but it's not something I'd actively seek out.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005""]",2a960f8a41c51034fe29b468eb497baf,selection,,,p0002,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0002"", ""prod_0004"", ""prod_0005""]",,0,"{""dropped_product_ids"": [""prod_0005""], ""executed_product_ids"": [""prod_0001"", ""prod_0002"", ""prod_0004""], ""notes"": ""Selected a Pilsner, Stout, Wheat Ale, and Porter to cover my preferred styles and bitterness levels. Avoiding the sour.""}"
,08bb428db92e3431750c4e1bb0e87e4b,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""yes"", ""rating"": 4}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.6, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.2}",p0002,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright flavor profile. Expect subtle citrus notes from carefully selected hops, balanced by a gentle bitterness and a dry finish. With an ABV of 4.8% and 35 IBUs, it's easy-drinking and incredibly satisfying. Brewed with simple, quality ingredients and priced at $9 for a 6-pack, Golden Horizon Pilsner is the perfect choice for a sunny afternoon or a casual gathering.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,2a960f8a41c51034fe29b468eb497baf,0,"{""rationale"": ""This sounds like a beer I'd enjoy. I like lagers and IPAs, and a Pilsner with subtle citrus notes and a dry finish aligns with my preferences. The 4.8% ABV and 35 IBUs are a good level of kick and bitterness for me. The price is reasonable too. I'm likely to give it a try.""}"
,090b114c67008b8fba9b92752ad0eb29,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.6, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.2}",p0002,self_selection,"Introducing Midnight Bloom Stout, a rich and decadent dark beer perfect for savoring. This full-bodied Stout boasts a deep, dark color and an ABV of 7.5%. Expect a complex flavor profile with notes of roasted malt complemented by a subtle sweetness and creamy mouthfeel thanks to the addition of lactose. With a moderate bitterness and a pleasant aroma, Midnight Bloom offers a balanced and satisfying experience. It’s a robust choice for those who appreciate a full-flavored, indulgent beer. A six-pack is priced at $15.","{""abv"": 7.5, ""color_srm"": 32, ""flavor_profile"": {""acidity"": 0.1, ""aroma_intensity"": 0.7, ""bitterness"": 0.2, ""body"": 0.8, ""sweetness"": 0.6}, ""ibu"": 45, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": false, ""fruit_added"": false, ""lactose"": true, ""roasted_malt"": true}, ""price_usd_6pack"": 15, ""style"": ""Stout""}",prod_0002,0.1.0,,2a960f8a41c51034fe29b468eb497baf,0,"{""rationale"": ""While I generally avoid stouts, the description mentions roasted malt which I do enjoy. The lactose and sweetness are concerning, as I prefer drier finishes. The bitterness level (45 IBU) seems reasonable, and the aroma intensity is a plus. I'd be willing to try it once, but it's not something I'd likely repurchase regularly given my preferences.""}"
,3520d8342388b95744cee13ef25b091a,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.4, ""adventurousness"": 0.5, ""age_group"": ""30-39"", ""beer_style_affinity"": {""ipa"": 0.5, ""lager"": 0.6, ""sour"": 0.1, ""stout"": 0.4, ""wheat"": 0.2}, ""bitterness_tolerance"": 0.6, ""gender"": ""male"", ""income_bracket"": ""60-100k"", ""price_sensitivity"": 0.3, ""region"": ""Midwest"", ""sweetness_preference"": 0.2}",p0002,self_selection,"Introducing Sunstone Wheat Ale, a refreshing and easy-drinking beer perfect for any occasion. This Wheat style ale boasts a light golden color and a subtle malt sweetness balanced by a bright citrus hop aroma. With a moderate bitterness and a clean finish, Sunstone offers a crisp and approachable flavor profile. At 5.5% ABV and 20 IBUs, it’s a wonderfully balanced brew. Enjoy a six-pack for just $8 and experience the sunshine in every sip!","{""abv"": 5.5, ""color_srm"": 4, ""flavor_profile"": {""acidity"": 0.5, ""aroma_intensity"": 0.8, ""bitterness"": 0.3, ""body"": 0.4, ""sweetness"": 0.2}, ""ibu"": 20, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 8, ""style"": ""Wheat""}",prod_0004,0.1.0,,2a960f8a41c51034fe29b468eb497baf,0,"{""rationale"": ""While I generally avoid wheat beers, the description mentioning citrus hops is intriguing. The ABV is good, and the price is reasonable. However, the low IBU and sweetness level make me hesitant. I'll probably try it once if it's available, but it's not something I'd actively seek out.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005""]",d4eb65ebb5febdc485b4fa753f9f9259,selection,,,p0003,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0004""]",,0,"{""executed_product_ids"": [""prod_0001"", ""prod_0004""], ""notes"": ""Golden Horizon Pilsner aligns perfectly with my lager preference. Sunstone Wheat Ale is a reasonable secondary choice as I occasionally enjoy wheat beers.""}"
,9ccf36e5075c65c6a5f644bcd7a4903c,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""yes"", ""rating"": 4}","{""abv_preference"": 0.2, ""adventurousness"": 0.2, ""age_group"": ""40-49"", ""beer_style_affinity"": {""ipa"": 0.3, ""lager"": 0.8, ""sour"": 0.0, ""stout"": 0.1, ""wheat"": 0.4}, ""bitterness_tolerance"": 0.2, ""gender"": ""female"", ""income_bracket"": ""100-150k"", ""price_sensitivity"": 0.1, ""region"": ""South"", ""sweetness_preference"": 0.4}",p0003,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright flavor profile. Expect subtle citrus notes from carefully selected hops, balanced by a gentle bitterness and a dry finish. With an ABV of 4.8% and 35 IBUs, it's easy-drinking and incredibly satisfying. Brewed with simple, quality ingredients and priced at $9 for a 6-pack, Golden Horizon Pilsner is the perfect choice for a sunny afternoon or a casual gathering.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,d4eb65ebb5febdc485b4fa753f9f9259,0,"{""rationale"": ""As a lager lover, a Pilsner sounds appealing. The description mentions subtle citrus notes and a dry finish, which aligns with my preferences. The ABV is reasonable, and the IBU is low enough that it shouldn't be overly bitter. The price is acceptable for a quality beer. I'd be willing to try it.""}"
,3e6fb7db1721546c6cb231f161741f10,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 4}","{""abv_preference"": 0.2, ""adventurousness"": 0.2, ""age_group"": ""40-49"", ""beer_style_affinity"": {""ipa"": 0.3, ""lager"": 0.8, ""sour"": 0.0, ""stout"": 0.1, ""wheat"": 0.4}, ""bitterness_tolerance"": 0.2, ""gender"": ""female"", ""income_bracket"": ""100-150k"", ""price_sensitivity"": 0.1, ""region"": ""South"", ""sweetness_preference"": 0.4}",p0003,self_selection,"Introducing Sunstone Wheat Ale, a refreshing and easy-drinking beer perfect for any occasion. This Wheat style ale boasts a light golden color and a subtle malt sweetness balanced by a bright citrus hop aroma. With a moderate bitterness and a clean finish, Sunstone offers a crisp and approachable flavor profile. At 5.5% ABV and 20 IBUs, it’s a wonderfully balanced brew. Enjoy a six-pack for just $8 and experience the sunshine in every sip!","{""abv"": 5.5, ""color_srm"": 4, ""flavor_profile"": {""acidity"": 0.5, ""aroma_intensity"": 0.8, ""bitterness"": 0.3, ""body"": 0.4, ""sweetness"": 0.2}, ""ibu"": 20, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 8, ""style"": ""Wheat""}",prod_0004,0.1.0,,d4eb65ebb5febdc485b4fa753f9f9259,0,"{""rationale"": ""I generally prefer lagers, but I'm open to trying wheat beers occasionally. The description mentions a subtle malt sweetness and citrus aroma, which sounds appealing. The bitterness level seems manageable (20 IBUs), and the ABV is reasonable. The price is also quite good. I'm not completely convinced it will be my favorite, but I'd be willing to give it a try.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005""]",ee469355b439666d785381886dd9dbf7,selection,,,p0004,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0002"", ""prod_0005""]",,0,"{""executed_product_ids"": [""prod_0001"", ""prod_0002"", ""prod_0005""], ""notes"": ""Prioritizing lagers and stouts. Golden Horizon Pilsner seems like a safe bet. Midnight Bloom Stout aligns with my preference for dark, rich beers. Emberglow Porter, with its oak aging, seems potentially interesting enough to warrant a try.""}"
,cecf3c4d7c8722a198cc9d5fc04aa29f,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 3}","{""abv_preference"": 0.0, ""adventurousness"": 0.1, ""age_group"": ""50-64"", ""beer_style_affinity"": {""ipa"": 0.1, ""lager"": 0.7, ""sour"": 0.0, ""stout"": 0.6, ""wheat"": 0.1}, ""bitterness_tolerance"": 0.1, ""gender"": ""male"", ""income_bracket"": ""150k+"", ""price_sensitivity"": 0.0, ""region"": ""Northeast"", ""sweetness_preference"": 0.0}",p0004,self_selection,"Introducing Golden Horizon Pilsner, a crisp and refreshing beer crafted for everyday enjoyment. This classic Pilsner boasts a light golden color and a clean, bright flavor profile. Expect subtle citrus notes from carefully selected hops, balanced by a gentle bitterness and a dry finish. With an ABV of 4.8% and 35 IBUs, it's easy-drinking and incredibly satisfying. Brewed with simple, quality ingredients and priced at $9 for a 6-pack, Golden Horizon Pilsner is the perfect choice for a sunny afternoon or a casual gathering.","{""abv"": 4.8, ""color_srm"": 3, ""flavor_profile"": {""acidity"": 0.3, ""aroma_intensity"": 0.6, ""bitterness"": 0.4, ""body"": 0.2, ""sweetness"": 0.1}, ""ibu"": 35, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": true, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": false}, ""price_usd_6pack"": 9, ""style"": ""Pilsner""}",prod_0001,0.1.0,,ee469355b439666d785381886dd9dbf7,0,"{""rationale"": ""The description aligns well with my preference for lagers – a crisp, clean Pilsner is appealing. The ABV is reasonable, and the dry finish is a positive. However, the mention of 'subtle citrus notes' gives me slight pause, as I generally prefer a more straightforward flavor. The 35 IBUs suggest a mild bitterness, which is acceptable, and the price is reasonable. I'm leaning towards trying it, but it's not a guaranteed purchase.""}"
,84d0a023788c0871d035ecf4dbd7faa1,evaluation,"{""bitterness"": 3, ""purchase_intent"": ""no"", ""rating"": 2}","{""abv_preference"": 0.0, ""adventurousness"": 0.1, ""age_group"": ""50-64"", ""beer_style_affinity"": {""ipa"": 0.1, ""lager"": 0.7, ""sour"": 0.0, ""stout"": 0.6, ""wheat"": 0.1}, ""bitterness_tolerance"": 0.1, ""gender"": ""male"", ""income_bracket"": ""150k+"", ""price_sensitivity"": 0.0, ""region"": ""Northeast"", ""sweetness_preference"": 0.0}",p0004,self_selection,"Introducing Midnight Bloom Stout, a rich and decadent dark beer perfect for savoring. This full-bodied Stout boasts a deep, dark color and an ABV of 7.5%. Expect a complex flavor profile with notes of roasted malt complemented by a subtle sweetness and creamy mouthfeel thanks to the addition of lactose. With a moderate bitterness and a pleasant aroma, Midnight Bloom offers a balanced and satisfying experience. It’s a robust choice for those who appreciate a full-flavored, indulgent beer. A six-pack is priced at $15.","{""abv"": 7.5, ""color_srm"": 32, ""flavor_profile"": {""acidity"": 0.1, ""aroma_intensity"": 0.7, ""bitterness"": 0.2, ""body"": 0.8, ""sweetness"": 0.6}, ""ibu"": 45, ""ingredients"": {""barrel_aged"": false, ""citrus_hops"": false, ""fruit_added"": false, ""lactose"": true, ""roasted_malt"": true}, ""price_usd_6pack"": 15, ""style"": ""Stout""}",prod_0002,0.1.0,,ee469355b439666d785381886dd9dbf7,0,"{""rationale"": ""While I appreciate a good stout, the description mentioning 'subtle sweetness' and 'creamy mouthfeel' due to lactose is concerning. I prefer a dry finish and generally avoid sweetness in my beer. The bitterness level (IBU 45) also seems a bit higher than my preference, though the description suggests it's moderate. Overall, it doesn't quite align with my usual preferences, so I likely wouldn't purchase it.""}"
,ba5606b1ea5635e1c9c4f42f1522a2b7,evaluation,"{""bitterness"": 2, ""purchase_intent"": ""maybe"", ""rating"": 2}","{""abv_preference"": 0.0, ""adventurousness"": 0.1, ""age_group"": ""50-64"", ""beer_style_affinity"": {""ipa"": 0.1, ""lager"": 0.7, ""sour"": 0.0, ""stout"": 0.6, ""wheat"": 0.1}, ""bitterness_tolerance"": 0.1, ""gender"": ""male"", ""income_bracket"": ""150k+"", ""price_sensitivity"": 0.0, ""region"": ""Northeast"", ""sweetness_preference"": 0.0}",p0004,self_selection,"Emberglow Porter is a rich and full-bodied dark beer, perfect for savoring. This Porter boasts a deep, dark color and a complex flavor profile with notes of roasted malt and a subtle sweetness. Aged in oak barrels, it offers a smooth, mellow character with a balanced bitterness. Expect a medium-full body and a pleasant aroma. With an ABV of 6.0% and 28 IBUs, it's a satisfying choice for those who appreciate a robust and flavorful beer. A six-pack is priced at $12.","{""abv"": 6.0, ""color_srm"": 25, ""flavor_profile"": {""acidity"": 0.2, ""aroma_intensity"": 0.65, ""bitterness"": 0.25, ""body"": 0.7, ""sweetness"": 0.5}, ""ibu"": 28, ""ingredients"": {""barrel_aged"": true, ""citrus_hops"": false, ""fruit_added"": false, ""lactose"": false, ""roasted_malt"": true}, ""price_usd_6pack"": 12, ""style"": ""Porter""}",prod_0005,0.1.0,,ee469355b439666d785381886dd9dbf7,0,"{""rationale"": ""While I appreciate a good stout, the description mentions 'subtle sweetness,' which is a significant deterrent. I also generally avoid Porters, preferring lagers. The bitterness level seems manageable, but the sweetness and style make it unlikely I'd purchase it immediately. I might try it once out of curiosity, hence the 'maybe'.""}"
"[""prod_0001"", ""prod_0002"", ""prod_0003"", ""prod_0004"", ""prod_0005""]",486afadac59258309b4e802aa5e2ae77,selection,,,p0005,self_selection,,,,0.1.0,"[""prod_0001"", ""prod_0004""]",,0,"{""executed_product_ids"": [""prod_0001"", ""prod_0004""], ""notes"": ""Golden Horizon Pilsner seems like a good fit for a classic lager lover. Sunstone Wheat Ale is also promising as a refreshing option, and the price is good.""}"
